Players,Teams,Resources,UUID
16,1,1,4dcbc2c4-46d1-1892-078d-5af92542a717
16,1,2,43fdd218-3a94-3562-d644-48956ac22a77
16,1,4,43e5f75d-25b5-5fec-3f6a-2dbfeb80173b
16,1,8,d1851d2c-2901-241d-c0ef-d957cd695b3e
16,2,1,81e6ec87-f087-5a14-3acc-271bc1df2d4a
16,2,2,b7b511c6-7b9e-32b4-9c48-e589c8d10426
16,2,4,12c1ee25-313f-559d-32f0-06f791d81071
16,2,8,d1151fbd-51b8-d5a3-c35f-56b3883b4cdb
16,4,1,f76a4738-0419-d813-e2aa-28fd5001931c
16,4,2,8a8966db-ee31-bd4e-d12c-47620a58e0a6
16,4,4,45ead35f-89e4-ef79-24e0-04a19f083740
16,4,8,f892a533-3cf5-48fe-f9fd-c2963a948e2e
8,1,1,8a3382fc-51b9-ccad-54e6-244a2ea43029
8,1,2,bde42c9d-cc0a-7966-1f68-664e1828c35f
8,1,4,d08d0b89-7cce-c5ed-152e-782bd3b31061
8,1,8,82b88038-c976-eea5-5632-d520e760febf
8,2,1,99281952-7248-e37a-84d2-26ec8e883d2b
8,2,2,52db9f26-84df-5d0d-0ae9-4ab4f306d82f
8,2,4,3e42cdc2-d5bb-39df-a3ae-76f6784e9c64
8,2,8,d215e77d-e84e-e4e9-1078-fd1667c29c2d
8,4,1,e7b21e67-25b9-5131-e774-5c4681d79b8f
8,4,2,6ae6cc31-bc3f-b3c4-5c32-4cb37aff166c
8,4,4,b293dfc0-30b7-0806-082a-647894043b51
8,4,8,82e6222d-9c3d-934d-2c2b-fb60d798a0e9
4,1,1,8eb20512-7b40-f230-7e20-34b93c08d0b6
4,1,2,5269c608-87ed-fb15-a2bc-bc23122c4cc5
4,1,4,25f82e78-a27c-be6b-5137-b73367d20e69
4,1,8,97073f20-f365-b1fe-4f5c-ac3434e2834f
4,2,1,96374352-a824-c142-d4e0-293a625ed91e
4,2,2,374d44d5-8d1f-b91a-09dc-80da13b813cf
4,2,4,875c7034-d6e8-37a0-52cc-1b028de64727
4,2,8,732c8072-c2cb-9091-f568-457a2ee32f02
4,4,1,ff5417c4-b529-9640-c25b-b113b537cb0d
4,4,2,c4a13294-9fe5-8e52-1006-5d0f564777e2
4,4,4,161cb8d9-6548-5a78-ebc7-712208d7c5e3
4,4,8,ebeeafb0-f67d-d156-b154-6f32ebebdec7
2,1,1,db9a42d5-cfb8-dc70-519a-1296dbdbc377
2,1,2,9bda31d4-9d5e-6d4c-88ae-429896da0e1a
2,1,4,b3d21493-604b-0d26-5515-6581d482726a
2,1,8,2646d09c-0bb4-bbab-c915-6ad8937abbf2
2,2,1,3bbe4a06-14a2-ff3d-f63e-0e1f7de2954f
2,2,2,1177cfd0-0240-a58d-3707-ad476db13608
2,2,4,5f0a3fcb-81a0-09a2-d98d-87c3e6f5d28f
2,2,8,db5de2c6-488d-73bf-1249-b457e401a42d
1,1,1,a995b5a1-d06f-ca3c-f851-4d752c308405
1,1,2,cbe8f4ca-5228-05f9-75d5-3600da515897
1,1,4,a801bd62-b2af-ad49-3f7d-f7552e1a452c
1,1,8,91764120-d86a-e634-54ef-cf335337f358
